T,R1,R2,R3,R4,R5,R6,R7,R8
1,1.576,1.457,1.419,1.402,1.578,1.321,1.358,1.389
2,1.501,1.315,1.356,1.32,1.519,1.279,1.315,1.326
3,1.435,1.288,1.259,1.259,1.455,1.23,1.268,1.278
4,1.409,1.227,1.206,1.216,1.399,1.198,1.216,1.215
5,1.327,1.179,1.189,1.125,1.342,1.167,1.165,1.178
6,1.302,1.149,1.148,1.102,1.286,1.116,1.12,1.123
7,1.239,1.088,1.099,1.059,1.224,1.075,1.053,1.079
8,1.166,1.025,1.021,0.989,1.185,1.031,0.997,1.023
9,1.149,1,0.994,0.959,1.125,0.969,0.943,0.97
10,1.105,0.975,0.967,0.939,1.089,0.934,0.917,0.951
11,1.046,0.933,0.929,0.888,1.036,0.912,0.873,0.919
12,1.031,0.901,0.914,0.852,0.989,0.874,0.84,0.875
13,0.982,0.853,0.86,0.811,0.934,0.821,0.799,0.832
14,0.941,0.826,0.822,0.772,0.903,0.778,0.763,0.794
15,0.899,0.797,0.795,0.755,0.863,0.735,0.732,0.756
16,0.849,0.762,0.76,0.71,0.834,0.715,0.696,0.709
17,0.829,0.729,0.736,0.691,0.795,0.685,0.663,0.676
18,0.788,0.695,0.709,0.655,0.766,0.655,0.637,0.651
19,0.771,0.667,0.67,0.628,0.728,0.631,0.615,0.618
20,0.741,0.638,0.64,0.609,0.701,0.608,0.589,0.597
21,0.688,0.618,0.615,0.576,0.672,0.578,0.562,0.567
22,0.671,0.592,0.598,0.555,0.651,0.553,0.542,0.551
23,0.649,0.563,0.564,0.531,0.614,0.531,0.521,0.523
24,0.615,0.541,0.542,0.503,0.598,0.516,0.501,0.507
25,0.599,0.512,0.516,0.481,0.569,0.489,0.479,0.489
26,0.573,0.497,0.499,0.459,0.549,0.479,0.453,0.465
27,0.551,0.486,0.485,0.448,0.533,0.453,0.435,0.451
28,0.521,0.456,0.457,0.429,0.512,0.433,0.415,0.432
29,0.503,0.434,0.438,0.402,0.499,0.413,0.397,0.411
30,0.488,0.414,0.427,0.392,0.469,0.398,0.379,0.39
31,0.463,0.395,0.418,0.381,0.454,0.381,0.368,0.377
32,0.451,0.389,0.405,0.362,0.432,0.365,0.352,0.359
33,0.432,0.378,0.388,0.349,0.419,0.354,0.34,0.349
34,0.421,0.364,0.38,0.343,0.401,0.343,0.324,0.336
35,0.408,0.351,0.369,0.332,0.389,0.33,0.319,0.327
36,0.388,0.339,0.352,0.32,0.371,0.315,0.307,0.312
37,0.373,0.325,0.34,0.304,0.354,0.297,0.288,0.296
38,0.359,0.304,0.329,0.295,0.342,0.292,0.281,0.287
39,0.343,0.296,0.311,0.281,0.332,0.279,0.27,0.276
40,0.335,0.289,0.302,0.272,0.327,0.274,0.261,0.266
41,0.323,0.279,0.29,0.264,0.319,0.259,0.251,0.254
42,0.315,0.271,0.281,0.247,0.308,0.254,0.246,0.249
43,0.301,0.263,0.273,0.241,0.299,0.243,0.233,0.238
44,0.294,0.258,0.266,0.235,0.278,0.233,0.226,0.229
45,0.282,0.248,0.257,0.227,0.278,0.225,0.218,0.221
46,0.262,0.23,0.236,0.216,0.267,0.219,0.209,0.213
47,0.254,0.224,0.23,0.204,0.251,0.212,0.202,0.206
48,0.247,0.219,0.225,0.199,0.245,0.2,0.194,0.198
49,0.236,0.211,0.217,0.19,0.236,0.195,0.189,0.193
50,0.234,0.203,0.213,0.187,0.223,0.187,0.182,0.186
