V_COD_ESTA,V_COD_ANESTA,V_NOM_ESTA,D_FEC_INI,D_FEC_FIN,N_PORCENTAJE,N_NRO_DIA,V_NOM_DRE,V_COD_TIPO,V_COD_CATE,V_DESC_CATE,V_DESL_CATE,V_COD_SIHI,V_NOM_SIHI,V_COD_CUEN,V_NOM_CUEN,V_COD_SECTOR,N_ALT_MTS,N_LON_SIG,N_LAT_SIG,V_COD_COND,PER_INI,PER_FIN
47288486,47241078,PEBAS,31/12/2000,11/05/2023,69,"5,653",DIRECCION ZONAL DE LORETO,M1,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,4,AMAZONAS,05,INTERCUENCA DEL AMAZONAS,,101,-72,-3,F,2000-12,2023-05
47259496,4723124C,RECUAY,31/12/2000,11/05/2023,80,"6,520",DIRECCION ZONAL DE LIMA,M1,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,14,SANTA,0006,"3,431",-77,-10,F,2000-12,2023-05
47263360,472377AA,GRANJA SAN ANTONIO,31/12/2000,11/05/2023,83,"6,773",DIRECCION ZONAL DE CUSCO,M1,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,5,UCAYALI,09,APURIMAC,,"2,780",-73,-14,F,2000-12,2023-05
4725E206,4722D5A8,SAN MARCOS,31/12/2000,11/05/2023,79,"6,457",DIRECCION ZONAL DE CAJAMARCA,M,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,2,MARAÑON,12,CRISNEJAS,,"2,293",-78,-7,F,2000-12,2023-05
112193,112193,SAN BORJA,20/01/2000,11/05/2023,1,"3,757",DIRECCION ZONAL DE LIMA,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,26,RIMAC,,128,-77,-12,F,0001-01,2023-05
221007,221007,CACAO,,,,,DIRECCION ZONAL DE LAMBAYEQUE,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,2,MARAÑON,10,CHAMAYA,,900,-79,-6,C,,
111170,111170,Huaytapallana M,,,,,DIRECCION ZONAL DE JUNIN,M,11,CO,CLIMATOLOGICA ORDINARIA,1,PACIFICO,,,,"4,684",-75,-12,F,,
111171,111171,Huaytapallana H,,,,,DIRECCION ZONAL DE JUNIN,M,11,CO,CLIMATOLOGICA ORDINARIA,1,PACIFICO,,,,"4,639",-75,-12,F,,
472A218A,472A218A,ANTONIO RAYMONDI,07/07/2011,11/05/2023,95,"4,104",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,00,INTERCUENCA DEL PACIFICO,,47,-77,-12,F,2011-07,2023-05
472A8172,472A8172,LA ANGOSTURA,31/12/2000,09/02/2021,76,"5,594",DIRECCION ZONAL DE AREQUIPA,M,17,EMA,METEOROLOGICA AUTOMATICA,5,UCAYALI,09,APURIMAC,,"4,258",-72,-15,P,2000-12,2021-02
472AC278,472AC278,VON HUMBOLDT,10/10/2010,11/05/2023,96,"4,422",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,26,RIMAC,,247,-77,-12,F,2010-10,2023-05
105116,105116,PIURA FAP,,,,,DIRECCION ZONAL DE PIURA,M,14,SIN,SINOPTICA,1,PACIFICO,05,PIURA,,22,-81,-5,P,,
47280292,47280292,COTAHUASI,01/01/2001,11/05/2023,90,"7,359",DIRECCION ZONAL DE AREQUIPA,M,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,1,PACIFICO,43,OCOÑA,0010,"2,683",-73,-15,F,2001-01,2023-05
105108,105108,PIURA GRUP7,,,,,DIRECCION ZONAL DE PIURA,M,14,SIN,SINOPTICA,1,PACIFICO,05,PIURA,,29,-81,-5,P,,
221110,220307,PUENTE  MAYGASBAMBA,01/09/1962,28/02/2014,58,"10,836",DIRECCION ZONAL DE LAMBAYEQUE,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,2,MARAÑON,11,LLAUCANO,0007,"2,551",-79,-7,F,1962-09,2014-02
108069,108069,PUCALLPA FAP,,,,,DIRECCION ZONAL DE LORETO,M,14,SIN,SINOPTICA,5,UCAYALI,11,UCAYALI,,120,-75,-8,P,,
108072,108072,UCHIZA FAP,,,,,DIRECCION ZONAL DE SAN MARTIN,M,14,SIN,SINOPTICA,3,HUALLAGA,07,ALTO HUALLAGA,,662,-76,-8,P,,
100025,000009,CHALLACA PLU,01/11/2002,31/03/2023,92,"6,879",DIRECCION ZONAL DE ICA,M,15,PLU,PLUVIOMETRICA,1,PACIFICO,35,ICA,0009,"1,705",-75,-14,F,2002-11,2023-03
100101,000844,PISAC,01/12/1963,30/04/2023,98,"21,247",DIRECCION ZONAL DE CUSCO,M,11,CO,CLIMATOLOGICA ORDINARIA,5,UCAYALI,03,URUBAMBA,0010,"2,990",-72,-13,F,1963-12,2023-04
112159,000624,PANTANOS DE VILLA,01/07/1994,31/12/2006,90,"4,113",DIRECCION ZONAL DE LIMA,M,11,CO,CLIMATOLOGICA ORDINARIA,1,PACIFICO,27,LURIN,0002,4,-77,-12,C,1994-07,2006-12
116059,116059,LA HACIENDITA,,,,,DIRECCION ZONAL DE AREQUIPA,M,11,CO,CLIMATOLOGICA ORDINARIA,1,PACIFICO,46,TAMBO,,268,-72,-17,C,,
112165,112165,LAS PALMAS FAP,,,,,DIRECCION ZONAL DE LIMA,M,14,SIN,SINOPTICA,1,PACIFICO,26,RIMAC,0002,74,-77,-12,P,,
472191AC,213100,SOCSI,12/09/1992,11/05/2023,149,"16,680",DIRECCION ZONAL DE LIMA,H,18,EHA,HIDROLOGICA AUTOMATICA,1,PACIFICO,31,CAÑETE,,310,-76,-13,F,1992-09,2023-05
118013,118013,MOQUEGUA UV,,,,,DIRECCION ZONAL DE TACNA,M,20,EAA,AMBIENTAL AUTOMATICA,1,PACIFICO,47,ILO - MOQUEGUA,,"1,420",-71,-17,F,,
4729950A,4729950A,PACAYMAYO,10/06/2011,11/05/2023,90,"3,905",DIRECCION ZONAL DE CUSCO,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,03,BOCAPAN,,"3,615",-72,-13,F,2011-06,2023-05
47294362,47294362,SORAYPAMPA,16/06/2011,11/05/2023,96,"4,176",DIRECCION ZONAL DE CUSCO,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,"3,854",-73,-13,F,2011-06,2023-05
113243,113243,UPINA,22/06/2015,28/12/2015,66,126,DIRECCION ZONAL DE PUNO,M,20,EAA,AMBIENTAL AUTOMATICA,6,MADRE DE DIOS,05,INAMBARI,,"3,946",-70,-14,C,2015-06,2015-12
110133,155421,PERENE,01/10/2004,01/01/2015,102,"3,806",DIRECCION ZONAL DE JUNIN,M,15,PLU,PLUVIOMETRICA,5,UCAYALI,05,PERENE,0012,485,-75,-11,P,2004-10,2015-01
112176,RTU10002,MANGORIARI,19/11/2006,31/07/2015,"3,924","124,650",DIRECCION ZONAL DE CUSCO,M2,17,EMA,METEOROLOGICA AUTOMATICA,5,UCAYALI,03,URUBAMBA,,"1,528",-73,-12,P,2006-11,2015-07
112177,RTU10004,KEPASHIATO,23/11/2006,31/07/2015,"3,928","124,642",DIRECCION ZONAL DE CUSCO,M2,17,EMA,METEOROLOGICA AUTOMATICA,5,UCAYALI,03,URUBAMBA,,900,-73,-13,F,2006-11,2015-07
112178,RTU10005,COMERCIATO,11/10/2006,31/07/2015,"3,878","124,703",DIRECCION ZONAL DE CUSCO,M2,17,EMA,METEOROLOGICA AUTOMATICA,5,UCAYALI,03,URUBAMBA,,"1,842",-73,-13,F,2006-10,2015-07
113141,RTU10009,ACOCRO,11/10/2006,31/07/2015,"3,877","124,681",DIRECCION ZONAL DE JUNIN,M2,17,EMA,METEOROLOGICA AUTOMATICA,5,UCAYALI,08,MANTARO,,"4,212",-74,-13,F,2006-10,2015-07
114104,007747,CHALHUANCA II,01/02/1964,31/10/1999,76,"9,859",DIRECCION ZONAL DE CUSCO,M,11,CO,CLIMATOLOGICA ORDINARIA,5,UCAYALI,09,APURIMAC,0010,"3,548",-73,-14,C,1964-02,1999-10
214700,204812,OTORA,01/10/2007,31/03/2023,41,"2,317",DIRECCION ZONAL DE TACNA,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,1,PACIFICO,47,ILO - MOQUEGUA,,"2,575",-71,-17,F,2007-10,2023-03
