V_COD_ESTA,V_COD_ANESTA,V_NOM_ESTA,D_FEC_INI,D_FEC_FIN,N_PORCENTAJE,N_NRO_DIA,V_NOM_DRE,V_COD_TIPO,V_COD_CATE,V_DESC_CATE,V_DESL_CATE,V_COD_SIHI,V_NOM_SIHI,V_COD_CUEN,V_NOM_CUEN,V_COD_SECTOR,N_ALT_MTS,N_LON_SIG,N_LAT_SIG,V_COD_COND,PER_INI,PER_FIN
106114,153325,ORELLANA,01/09/1963,31/12/1978,97,"5,450",DIRECCION ZONAL DE HUANUCO,M,15,PLU,PLUVIOMETRICA,5,UCAYALI,11,UCAYALI,0013,139,-75,-7,C,1963-09,1978-12
203801,203801,ORONGO,01/01/1947,31/05/1989,87,"13,538",DIRECCION ZONAL DE ICA,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,1,PACIFICO,36,GRANDE,0003,548,-75,-15,C,1947-01,1989-05
204504,204504,OCOÑA,01/09/1970,24/03/2023,26,"4,913",DIRECCION ZONAL DE AREQUIPA,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,1,PACIFICO,43,OCOÑA,0003,15,-73,-16,F,1970-09,2023-03
103054,000180,PEBAS,01/11/1963,28/02/2023,85,"18,507",DIRECCION ZONAL DE LORETO,M,11,CO,CLIMATOLOGICA ORDINARIA,4,AMAZONAS,05,INTERCUENCA DEL AMAZONAS,0013,102,-72,-3,F,1963-11,2023-02
200421,200422,PUENTE PALTASHACO,,,,,DIRECCION ZONAL DE PIURA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,05,PIURA,0001,564,-80,-5,C,,
203814,203814,PUENTE PANAMERICANA,,,,,DIRECCION ZONAL DE ICA,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,1,PACIFICO,35,ICA,0003,564,-76,-14,C,,
200406,200407,PUENTE PIURA,01/09/1925,31/10/2009,5,"1,422",DIRECCION ZONAL DE PIURA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,05,PIURA,0001,23,-81,-5,C,1925-09,2009-10
200419,200420,PUENTE PIURA,,,,,DIRECCION ZONAL DE PIURA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,05,PIURA,0001,20,-81,-5,C,,
202005,202005,PUENTE QUILLO,01/09/1974,31/10/1990,82,"4,866",DIRECCION ZONAL DE LIMA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,17,CASMA,0006,769,-78,-9,C,1974-09,1990-10
230403,230403,PUENTE SAN MIGUEL,,,,,DIRECCION ZONAL DE CUSCO,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,5,UCAYALI,03,URUBAMBA,0010,"3,723",-72,-13,C,,
201201,201200,PUENTE SANCHEZ CERRO,,,,,DIRECCION ZONAL DE PIURA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,05,PIURA,0001,23,-81,-5,C,,
230906,230909,PUENTE STUART,01/11/1961,31/08/1972,29,"1,129",DIRECCION ZONAL DE JUNIN,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,5,UCAYALI,08,MANTARO,0008,"3,363",-75,-12,C,1961-11,1972-08
104011,150300,PUENTE SULLANA,01/09/1983,31/03/1996,79,"3,651",DIRECCION ZONAL DE PIURA,M,15,PLU,PLUVIOMETRICA,1,PACIFICO,04,CHIRA,0001,25,-81,-5,C,1983-09,1996-03
221903,221905,PUERTO CHINCHAVITO,,,,,DIRECCION ZONAL DE HUANUCO,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,3,HUALLAGA,07,ALTO HUALLAGA,0012,842,-76,-9,P,,
109052,154204,PUENTE TARUCA,01/06/1966,31/01/1974,100,"2,802",DIRECCION ZONAL DE HUANUCO,M,15,PLU,PLUVIOMETRICA,3,HUALLAGA,07,ALTO HUALLAGA,0008,"2,740",-76,-10,C,1966-06,1974-01
221808,221809,PUENTE TARUCA,01/07/1966,30/04/1991,31,"2,772",DIRECCION ZONAL DE HUANUCO,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,3,HUALLAGA,07,ALTO HUALLAGA,0008,"1,967",-76,-10,C,1966-07,1991-04
200201,200201,PUENTE TUMBES,01/09/1951,30/09/1990,91,"13,026",DIRECCION ZONAL DE PIURA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,02,TUMBES,0001,5,-80,-4,C,1951-09,1990-09
103010,150203,PUERTO ALEGRE,,,,,DIRECCION ZONAL DE LORETO,M,15,PLU,PLUVIOMETRICA,4,AMAZONAS,02,NAPO,0013,91,-73,-4,C,,
240101,240203,PUERTO ALEGRE,,,,,DIRECCION ZONAL DE LORETO,H,06,HLM,HIDROLOGICA LIMNIMETRICA,4,AMAZONAS,02,NAPO,0013,95,-73,-4,C,,
240002,240106,PUERTO ALEGRIA,02/11/1985,28/02/1987,13,61,DIRECCION ZONAL DE LORETO,H,06,HLM,HIDROLOGICA LIMNIMETRICA,4,AMAZONAS,05,INTERCUENCA DEL AMAZONAS,0013,70,-70,-4,C,1985-11,1987-02
103046,000152,PUERTO ALMENDRA,01/01/1988,28/02/2023,99,"12,753",DIRECCION ZONAL DE LORETO,M,11,CO,CLIMATOLOGICA ORDINARIA,4,AMAZONAS,03,NANAY,0013,96,-73,-4,F,1988-01,2023-02
110034,000570,PUERTO BERMUDEZ,01/10/1961,31/03/1974,99,"4,505",DIRECCION ZONAL DE JUNIN,M,11,CO,CLIMATOLOGICA ORDINARIA,5,UCAYALI,02,PACHITEA,0014,300,-75,-10,C,1961-10,1974-03
202003,202003,PUENTE CARRETERA,01/03/1941,31/08/1974,88,"10,714",DIRECCION ZONAL DE LIMA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,17,CASMA,0002,39,-78,-9,C,1941-03,1974-08
202502,202502,PUENTE EL PANDO,01/01/1973,31/08/1973,100,243,DIRECCION ZONAL DE LIMA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,22,SUPE,0002,220,-78,-11,C,1973-01,1973-08
202201,202201,PUENTE CARRETERA,01/01/1930,30/06/1973,96,"15,169",DIRECCION ZONAL DE LIMA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,17,CASMA,0002,224,-78,-9,C,1930-01,1973-06
204614,204615,PUENTE CARRETERA CAMANA,01/01/1960,31/10/1986,68,"6,689",DIRECCION ZONAL DE AREQUIPA,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,1,PACIFICO,44,CAMANA,0003,25,-73,-17,C,1960-01,1986-10
204619,204620,PUENTE CARRETERA COLCA,10/02/1950,31/10/1964,98,"5,286",DIRECCION ZONAL DE AREQUIPA,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,1,PACIFICO,44,CAMANA,0009,"3,910",-71,-15,C,1950-02,1964-10
204604,204604,PUENTE COLGANTE-SIBAYO,11/06/1950,27/11/2020,39,"9,980",DIRECCION ZONAL DE AREQUIPA,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,1,PACIFICO,44,CAMANA,0009,"3,810",-71,-15,P,1950-06,2020-11
220301,220301,PUENTE CONCHAN,01/09/1957,18/09/1983,79,"7,527",DIRECCION ZONAL DE LAMBAYEQUE,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,2,MARAÑON,11,LLAUCANO,0007,"2,474",-79,-6,C,1957-09,1983-09
220201,220201,PUENTE CRISNEJAS,07/03/1968,31/12/1976,100,"3,222",DIRECCION ZONAL DE CAJAMARCA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,2,MARAÑON,12,CRISNEJAS,0007,"1,988",-78,-7,F,1968-03,1976-12
111078,155178,PACAYBAMBA,01/08/1963,30/09/1966,90,"1,035",DIRECCION ZONAL DE LIMA,M,15,PLU,PLUVIOMETRICA,1,PACIFICO,24,CHANCAY - HUARAL,0006,"1,564",-77,-11,C,1963-08,1966-09
105106,000235,MORROPON,01/10/1963,31/03/2023,95,"20,579",DIRECCION ZONAL DE PIURA,M,11,CO,CLIMATOLOGICA ORDINARIA,1,PACIFICO,05,PIURA,0001,128,-80,-5,F,1963-10,2023-03
106048,000334,MOTUPE,01/12/1964,30/06/2005,92,"13,637",DIRECCION ZONAL DE LAMBAYEQUE,M,11,CO,CLIMATOLOGICA ORDINARIA,1,PACIFICO,56,MOTUPE,0001,125,-80,-6,C,1964-12,2005-06
230920,230924,MOYA,,,,,DIRECCION ZONAL DE JUNIN,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,5,UCAYALI,08,MANTARO,0008,"3,120",-75,-12,C,,
203803,203803,MOYAQUE,01/01/1947,11/05/1989,91,"14,072",DIRECCION ZONAL DE ICA,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,1,PACIFICO,36,GRANDE,0003,637,-75,-15,C,1947-01,1989-05
106014,000378,MOYOBAMBA,01/07/1946,28/02/2023,92,"25,747",DIRECCION ZONAL DE SAN MARTIN,M,11,CO,CLIMATOLOGICA ORDINARIA,3,HUALLAGA,01,MAYO,0012,879,-77,-6,F,1946-07,2023-02
106025,140307,MOYOBAMBA,01/12/1958,31/01/1988,99,"10,562",DIRECCION ZONAL DE SAN MARTIN,M,14,SIN,SINOPTICA,3,HUALLAGA,01,MAYO,0012,800,-77,-6,P,1958-12,1988-01
240102,240101,ENAPU PERU,01/01/1988,31/10/1994,97,"2,423",DIRECCION ZONAL DE LORETO,H,06,HLM,HIDROLOGICA LIMNIMETRICA,4,AMAZONAS,05,INTERCUENCA DEL AMAZONAS,0013,126,-73,-4,P,1988-01,1994-10
114042,000785,MUÑANI,01/01/1964,30/11/2022,98,"21,000",DIRECCION ZONAL DE PUNO,M,11,CO,CLIMATOLOGICA ORDINARIA,7,TITICACA,01,HUANCANE,0011,"3,932",-70,-15,F,1964-01,2022-11
103023,000153,MORALILLO,01/01/2000,31/03/2023,90,"7,671",DIRECCION ZONAL DE LORETO,M,12,CP,CLIMATOLOGICA PRINCIPAL,4,AMAZONAS,05,INTERCUENCA DEL AMAZONAS,0013,106,-73,-4,F,2000-01,2023-03
103050,000173,MUYUY,01/03/1964,30/04/1983,91,"6,358",DIRECCION ZONAL DE LORETO,M,11,CO,CLIMATOLOGICA ORDINARIA,4,AMAZONAS,05,INTERCUENCA DEL AMAZONAS,0013,96,-73,-4,C,1964-03,1983-04
105107,000220,NAMBALLE,01/02/1999,28/02/2023,100,"8,764",DIRECCION ZONAL DE LAMBAYEQUE,M,11,CO,CLIMATOLOGICA ORDINARIA,2,MARAÑON,08,CHINCHIPE,0016,722,-79,-5,F,1999-02,2023-02
107037,000321,NAMORA,01/09/1963,31/03/2023,99,"21,608",DIRECCION ZONAL DE CAJAMARCA,M,11,CO,CLIMATOLOGICA ORDINARIA,2,MARAÑON,12,CRISNEJAS,0007,"2,760",-78,-7,F,1963-09,2023-03
107065,153220,NAMORA,,,,,DIRECCION ZONAL DE CAJAMARCA,M,15,PLU,PLUVIOMETRICA,2,MARAÑON,12,CRISNEJAS,0007,"2,750",-78,-7,C,,
220206,220206,NAMORA BOCATOMA,01/10/1968,31/05/1979,100,"3,895",DIRECCION ZONAL DE CAJAMARCA,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,2,MARAÑON,12,CRISNEJAS,0007,"2,612",-78,-7,F,1968-10,1979-05
104022,152113,NANGAY MATALACAS,01/01/1963,31/07/1994,97,"11,201",DIRECCION ZONAL DE PIURA,M,15,PLU,PLUVIOMETRICA,1,PACIFICO,04,CHIRA,0004,"2,124",-80,-5,C,1963-01,1994-07
105103,000219,NARANJILLO,01/04/1975,28/02/2023,98,"17,227",DIRECCION ZONAL DE SAN MARTIN,M,11,CO,CLIMATOLOGICA ORDINARIA,3,HUALLAGA,01,MAYO,0012,880,-77,-6,F,1975-04,2023-02
105049,152219,NARANJILLO,01/01/1975,31/12/1997,100,"8,395",DIRECCION ZONAL DE SAN MARTIN,M,15,PLU,PLUVIOMETRICA,3,HUALLAGA,01,MAYO,0012,900,-77,-6,C,1975-01,1997-12
104056,000279,NAUTA,01/03/1960,31/03/2023,94,"21,703",DIRECCION ZONAL DE LORETO,M,11,CO,CLIMATOLOGICA ORDINARIA,2,MARAÑON,14,BAJO MARAÑON,0013,101,-74,-5,F,1960-03,2023-03
104068,152407,NAUTA,01/03/1960,31/03/1965,98,"1,826",DIRECCION ZONAL DE LORETO,M,15,PLU,PLUVIOMETRICA,2,MARAÑON,14,BAJO MARAÑON,0013,118,-74,-5,C,1960-03,1965-03
106018,000386,NAVARRO,01/01/1964,29/02/2020,100,"20,422",DIRECCION ZONAL DE SAN MARTIN,M,11,CO,CLIMATOLOGICA ORDINARIA,3,HUALLAGA,06,BAJO HUALLAGA,0013,148,-76,-6,F,1964-01,2020-02
104082,000212,NEGRITOS,01/01/1936,31/12/1948,97,"4,598",DIRECCION ZONAL DE PIURA,M,11,CO,CLIMATOLOGICA ORDINARIA,1,PACIFICO,00,INTERCUENCA DEL PACIFICO,0001,17,-81,-5,C,1936-01,1948-12
111084,155207,PACHAMACHAY,01/01/1988,30/04/2023,98,"12,629",DIRECCION ZONAL DE LIMA,M,15,PLU,PLUVIOMETRICA,1,PACIFICO,23,HUAURA,0006,"3,175",-77,-11,F,1988-01,2023-04
203812,203812,MURO,01/09/1974,25/08/1989,72,"3,917",DIRECCION ZONAL DE ICA,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,1,PACIFICO,36,GRANDE,0009,970,-75,-15,C,1974-09,1989-08
115071,152170,MINAS CAYLLOMA,01/09/1977,30/06/1986,93,"2,985",DIRECCION ZONAL DE AREQUIPA,M,15,PLU,PLUVIOMETRICA,5,UCAYALI,09,APURIMAC,0010,"4,889",-72,-15,C,1977-09,1986-06
202929,202934,MATUCANA,,,,,DIRECCION ZONAL DE LIMA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,26,RIMAC,0006,"2,410",-76,-12,C,,
112119,155507,MAYOCC,01/01/1962,31/12/1970,100,"3,285",DIRECCION ZONAL DE JUNIN,M,15,PLU,PLUVIOMETRICA,5,UCAYALI,08,MANTARO,0008,"2,270",-74,-13,C,1962-01,1970-12
110040,150903,MAYORARCA,01/10/1980,30/04/2023,84,"13,055",DIRECCION ZONAL DE LIMA,M,15,PLU,PLUVIOMETRICA,1,PACIFICO,20,FORTALEZA,0006,"3,335",-77,-10,F,1980-10,2023-04
111033,000562,MAZAMARI,01/06/1968,31/01/1981,57,"2,647",DIRECCION ZONAL DE JUNIN,M,11,CO,CLIMATOLOGICA ORDINARIA,5,UCAYALI,05,PERENE,0012,"1,582",-75,-11,C,1968-06,1981-01
103044,000150,MAZAN,01/01/1992,31/03/2023,99,"11,294",DIRECCION ZONAL DE LORETO,M,12,CP,CLIMATOLOGICA PRINCIPAL,4,AMAZONAS,02,NAPO,0013,96,-73,-3,F,1992-01,2023-03
116026,000878,MAZO CRUZ,01/11/1963,30/11/2022,98,"21,032",DIRECCION ZONAL DE PUNO,M,11,CO,CLIMATOLOGICA ORDINARIA,7,TITICACA,05,ILAVE,0011,"3,980",-70,-17,F,1963-11,2022-11
116057,158345,MAZO CRUZ,01/01/1957,31/12/1969,100,"4,745",DIRECCION ZONAL DE PUNO,M,15,PLU,PLUVIOMETRICA,7,TITICACA,05,ILAVE,0011,"3,970",-70,-17,C,1957-01,1969-12
110071,155233,MEZA PATA,01/07/1970,31/10/2003,82,"10,017",DIRECCION ZONAL DE JUNIN,M,15,PLU,PLUVIOMETRICA,5,UCAYALI,05,PERENE,0016,"2,310",-75,-11,C,1970-07,2003-10
106008,000366,MICHIQUILLAY,01/03/1977,31/08/1978,100,549,DIRECCION ZONAL DE CAJAMARCA,M,11,CO,CLIMATOLOGICA ORDINARIA,2,MARAÑON,11,LLAUCANO,0007,"3,550",-79,-7,C,1977-03,1978-08
110023,000550,MILPO,01/12/1963,31/10/1980,90,"5,570",DIRECCION ZONAL DE JUNIN,M,11,CO,CLIMATOLOGICA ORDINARIA,3,HUALLAGA,07,ALTO HUALLAGA,0008,"4,256",-76,-11,C,1963-12,1980-10
109039,150902,MILPO,01/07/1980,01/01/2015,98,"12,397",DIRECCION ZONAL DE LIMA,M,15,PLU,PLUVIOMETRICA,1,PACIFICO,14,SANTA,0006,"4,400",-77,-10,C,1980-07,2015-01
111144,155514,MILLOC,01/01/1986,30/04/2023,98,"13,298",DIRECCION ZONAL DE LIMA,M,15,PLU,PLUVIOMETRICA,1,PACIFICO,26,RIMAC,0006,"4,384",-76,-12,F,1986-01,2023-04
4720D05C,4720D05C,PISCO,30/12/2000,20/11/2013,88,"4,156",DIRECCION ZONAL DE ICA,O,19,O,OCEANOGRAFICA AUTOMATICA,1,PACIFICO,52,OCEANO PACIFICO,0003,4,-76,-14,P,2000-12,2013-11
4724E0FC,472070A4,REQUENA,23/02/2006,11/05/2023,65,"4,065",DIRECCION ZONAL DE LORETO,M2,17,EMA,METEOROLOGICA AUTOMATICA,5,UCAYALI,11,UCAYALI,,109,-74,-5,F,2006-02,2023-05
4723F1BE,4723F1BE,MOQUEGUA,31/12/2000,11/05/2023,95,"7,786",DIRECCION ZONAL DE TACNA,M1,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,47,ILO - MOQUEGUA,0009,"1,420",-71,-17,F,2000-12,2023-05
47278214,4721D2A6,CHOSICA,01/01/2001,05/01/2021,125,"9,129",DIRECCION ZONAL DE LIMA,H,22,EHMA,HIDROMETEOROLOGICA AUTOMATICA,1,PACIFICO,26,RIMAC,0006,867,-77,-12,F,2001-01,2021-01
4725A10C,4724759E,CHAVIN,31/12/2000,11/05/2023,90,"7,362",DIRECCION ZONAL DE LIMA,M1,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,2,MARAÑON,13,ALTO MARAÑON,0007,"3,140",-77,-10,F,2000-12,2023-05
114109,114109,ICA UV,,,,,DIRECCION ZONAL DE ICA,M,16,PE,PROPOSITO ESPECIFICO,1,PACIFICO,,,,404,-76,-14,F,,
112192,112192,ATE,19/09/2016,19/12/2021,55,"1,045",DIRECCION ZONAL DE LIMA,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,26,RIMAC,0002,362,-77,-12,C,2016-09,2021-12
47262016,47262016,CORA CORA,01/01/2001,11/05/2023,92,"7,474",DIRECCION ZONAL DE ICA,M1,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,38,YAUCA,0006,"3,200",-74,-15,F,2001-01,2023-05
4724851A,47243694,NARANJILLO,30/12/2000,11/05/2023,83,"6,790",DIRECCION ZONAL DE SAN MARTIN,M1,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,3,HUALLAGA,01,MAYO,,882,-77,-6,F,2000-12,2023-05
47270400,47270400,TINGO MARIA,31/12/2000,11/05/2023,76,"6,196",DIRECCION ZONAL DE HUANUCO,H,22,EHMA,HIDROMETEOROLOGICA AUTOMATICA,3,HUALLAGA,07,ALTO HUALLAGA,,646,-76,-9,F,2000-12,2023-05
4723C424,4723C424,BOCATOMA ZAMBA,13/05/2014,26/02/2016,547,"3,584",DIRECCION ZONAL DE PIURA,H,18,EHA,HIDROLOGICA AUTOMATICA,1,PACIFICO,04,CHIRA,0010,633,-80,-5,F,2014-05,2016-02
109085,109085,JACAS GRANDE,01/12/2009,31/03/2023,48,"2,357",DIRECCION ZONAL DE HUANUCO,M,11,CO,CLIMATOLOGICA ORDINARIA,2,MARAÑON,13,ALTO MARAÑON,0008,"3,273",-77,-10,F,2009-12,2023-03
47209356,47209356,PAITA,31/12/2000,08/04/2015,92,"4,797",DIRECCION ZONAL DE PIURA,O,19,O,OCEANOGRAFICA AUTOMATICA,1,PACIFICO,52,OCEANO PACIFICO,0001,2,-81,-5,P,2000-12,2015-04
472587E0,472587E0,IÑAPARI,31/12/2000,11/05/2023,84,"6,823",DIRECCION ZONAL DE CUSCO,M1,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,6,MADRE DE DIOS,07,INTERCUENCAS MADRE DE DIOS,0015,245,-70,-11,F,2000-12,2023-05
4723013A,4723013A,EL PORVENIR,01/01/2001,11/05/2023,94,"7,673",DIRECCION ZONAL DE SAN MARTIN,M1,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,3,HUALLAGA,01,MAYO,0013,225,-76,-7,F,2001-01,2023-05
4726158C,4723872E,SICUANI,31/12/2000,11/05/2023,77,"6,258",DIRECCION ZONAL DE CUSCO,M1,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,5,UCAYALI,03,URUBAMBA,,"3,534",-71,-14,F,2000-12,2023-05
47251282,4722252C,PUENTE CARRETERA RAMIS,30/12/2000,15/06/2022,81,"6,314",DIRECCION ZONAL DE PUNO,H,22,EHMA,HIDROMETEOROLOGICA AUTOMATICA,7,TITICACA,02,RAMIS,,"3,812",-70,-15,P,2000-12,2022-06
47245372,47245372,LIRCAY,31/12/2000,20/12/2015,53,"2,870",DIRECCION ZONAL DE JUNIN,M1,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,5,UCAYALI,08,MANTARO,0008,"3,324",-75,-13,C,2000-12,2015-12
4726F67E,4722C6DE,PASABAR,30/12/2000,11/05/2023,89,"7,276",DIRECCION ZONAL DE LAMBAYEQUE,M1,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,1,PACIFICO,06,OLMOS,0001,120,-80,-6,F,2000-12,2023-05
472203C0,472203C0,LETRAYOC,31/12/2000,20/05/2009,49,"1,509",DIRECCION ZONAL DE ICA,H,18,EHA,HIDROLOGICA AUTOMATICA,1,PACIFICO,34,PISCO,0009,"1,020",-76,-14,C,2000-12,2009-05
4720F6B0,4720F6B0,MATARANI,30/12/2000,27/05/2016,92,"5,196",DIRECCION ZONAL DE TACNA,O,19,O,OCEANOGRAFICA AUTOMATICA,1,PACIFICO,52,OCEANO PACIFICO,0003,0,-72,-17,P,2000-12,2016-05
118012,118012,JORGE BASADRE UV,,,,,DIRECCION ZONAL DE TACNA,M,20,EAA,AMBIENTAL AUTOMATICA,1,PACIFICO,50,CAPLINA,,560,-70,-18,P,,
211408,211408,CONDORCERRO,31/12/1999,11/05/2023,168,"14,296",DIRECCION ZONAL DE LIMA,H,18,EHA,HIDROLOGICA AUTOMATICA,1,PACIFICO,14,SANTA,,475,-78,-9,F,1999-12,2023-05
472364DC,472364DC,CARANIA,31/12/2000,11/05/2023,94,"7,638",DIRECCION ZONAL DE LIMA,M,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,1,PACIFICO,31,CAÑETE,0006,"3,840",-76,-12,F,2000-12,2023-05
47271776,4720453E,SANTA CLOTILDE,30/12/2000,11/05/2023,62,"5,082",DIRECCION ZONAL DE LORETO,M1,17,EMA,METEOROLOGICA AUTOMATICA,4,AMAZONAS,02,NAPO,,150,-74,-2,F,2000-12,2023-05
111166,RTU10000,CHOCORIARI,,,,,DIRECCION ZONAL DE CUSCO,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,415,-73,-12,C,,
472761E6,472761E6,HUARMACA,31/12/2000,11/05/2023,87,"7,063",DIRECCION ZONAL DE PIURA,M1,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,2,MARAÑON,10,CHAMAYA,,"2,171",-80,-6,F,2000-12,2023-05
214800,214800,TICAPAMPA,31/12/1999,11/05/2023,167,"14,257",DIRECCION ZONAL DE TACNA,H,18,EHA,HIDROLOGICA AUTOMATICA,1,PACIFICO,48,LOCUMBA,,"1,093",-71,-17,F,1999-12,2023-05
113183,RTU10015,LA QUINGA,,,,,DIRECCION ZONAL DE ICA,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,806,-76,-14,F,,
113184,PLC0019,HUMAY,,,,,DIRECCION ZONAL DE ICA,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,425,-76,-14,C,,
4720C32A,4720C32A,CHIMBOTE,31/12/2000,27/05/2016,89,"5,031",DIRECCION ZONAL DE CAJAMARCA,O,19,O,OCEANOGRAFICA AUTOMATICA,1,PACIFICO,52,OCEANO PACIFICO,0002,145,-79,-9,P,2000-12,2016-05
113185,RTU10017,CHINCHA,,,,,DIRECCION ZONAL DE ICA,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,167,-76,-13,F,,
4723D752,4723D752,CHIVAY,31/12/2000,11/05/2023,94,"7,655",DIRECCION ZONAL DE AREQUIPA,M1,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,1,PACIFICO,44,CAMANA,0009,"3,644",-72,-16,F,2000-12,2023-05
47200634,47200634,LIMA ESTE,30/12/2000,16/08/2016,56,"3,166",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,26,RIMAC,0002,320,-77,-12,C,2000-12,2016-08
4727B78E,47239458,AYAVIRI,31/12/2000,11/05/2023,99,"8,087",DIRECCION ZONAL DE PUNO,M,17,EMA,METEOROLOGICA AUTOMATICA,7,TITICACA,02,RAMIS,,"3,928",-71,-15,F,2000-12,2023-05
212602,212602,SURASACA SALIDA,01/10/2013,28/02/2014,100,151,DIRECCION ZONAL DE LIMA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,23,HUAURA,,"4,379",-77,-11,C,2013-10,2014-02
4720E5C6,4720E5C6,SAN JUAN DE MARCONA,31/12/2000,03/09/2016,84,"4,779",DIRECCION ZONAL DE ICA,O,19,O,OCEANOGRAFICA AUTOMATICA,1,PACIFICO,52,OCEANO PACIFICO,0003,0,-75,-15,P,2000-12,2016-09
472285D4,,SAYAN,02/03/2009,17/01/2011,4,29,DIRECCION ZONAL DE LIMA,H,18,EHA,HIDROLOGICA AUTOMATICA,1,PACIFICO,23,HUAURA,,756,-77,-11,C,2009-03,2011-01
472466E8,472466E8,QUILLABAMBA,,,,,DIRECCION ZONAL DE CUSCO,M1,21,EAMA,AGROMETEOROLOGICA AUTOMATICA,5,UCAYALI,03,URUBAMBA,0016,"1,599",-73,-13,C,,
4720B5BA,4720B5BA,MALABRIGO (SALAVERRY),31/12/2000,12/06/2015,77,"4,043",DIRECCION ZONAL DE CAJAMARCA,O,19,O,OCEANOGRAFICA AUTOMATICA,1,PACIFICO,52,OCEANO PACIFICO,0002,0,-79,-8,P,2000-12,2015-06
472063D2,472063D2,TROMPETEROS,30/12/2000,04/05/2016,39,"2,162",DIRECCION ZONAL DE LORETO,M2,17,EMA,METEOROLOGICA AUTOMATICA,2,MARAÑON,01,TIGRE,0013,141,-75,-4,P,2000-12,2016-05
204707,204708,PUENTE DEL DIABLO,01/09/1978,31/03/2023,50,"8,060",DIRECCION ZONAL DE AREQUIPA,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,1,PACIFICO,45,QUILCA,0009,"1,983",-72,-16,F,1978-09,2023-03
230904,230906,PUENTE CHULEC,22/06/1962,31/12/1974,98,"4,502",DIRECCION ZONAL DE JUNIN,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,5,UCAYALI,08,MANTARO,0008,"4,002",-76,-12,C,1962-06,1974-12
200403,200404,PUENTE PALTASHACO,01/01/1978,31/12/1982,100,"1,826",DIRECCION ZONAL DE PIURA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,05,PIURA,0001,564,-80,-5,C,1978-01,1982-12
220401,220401,PUENTE CHUNCHUCA,01/01/1964,30/11/2007,21,"3,385",DIRECCION ZONAL DE LAMBAYEQUE,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,2,MARAÑON,10,CHAMAYA,0016,"1,034",-79,-6,C,1964-01,2007-11
200405,200406,PUENTE ÑACARA,01/01/1970,31/08/1991,55,"4,325",DIRECCION ZONAL DE PIURA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,05,PIURA,0001,82,-80,-5,C,1970-01,1991-08
