FECHA,SMP,AOD
20/07/2015,18.0,-9999
21/07/2015,21.6,-9999
22/07/2015,16.8,-9999
23/07/2015,9.5,0.0180000009
24/07/2015,11.9,0.0180000009
25/07/2015,18.1,-9999
26/07/2015,15.9,-9999
27/07/2015,15.9,-9999
28/07/2015,13.3,-9999
29/07/2015,18.3,-9999
30/07/2015,22.0,0.0370000018
31/07/2015,18.6,-9999
01/08/2015,19.8,-9999
02/08/2015,19.6,-9999
03/08/2015,17.4,-9999
04/08/2015,29.6,0.0180000009
05/08/2015,22.7,-9999
06/08/2015,19.5,0.0580000028
07/08/2015,18.8,-9999
08/08/2015,17.3,-9999
09/08/2015,11.4,0.0180000009
10/08/2015,17.9,-9999
11/08/2015,14.6,-9999
12/08/2015,15.6,-9999
13/08/2015,22.9,0.0180000009
14/08/2015,18.2,-9999
15/08/2015,14.5,-9999
16/08/2015,13.0,-9999
17/08/2015,15.3,-9999
18/08/2015,26.1,-9999
19/08/2015,19.7,-9999
20/08/2015,13.0,0.0180000009
21/08/2015,10.5,-9999
22/08/2015,10.4,0.0290000014
23/08/2015,12.3,-9999
24/08/2015,15.4,-9999
25/08/2015,22.5,-9999
26/08/2015,19.9,-9999
27/08/2015,17.7,-9999
28/08/2015,25.6,-9999
29/08/2015,27.1,0.0180000009
30/08/2015,14.0,-9999
31/08/2015,17.8,0.0600000028
01/09/2015,21.7,-9999
02/09/2015,11.3,-9999
03/09/2015,20.0,0.0180000009
04/09/2015,16.3,-9999
05/09/2015,18.1,0.0530000025
06/09/2015,14.5,-9999
07/09/2015,10.3,0.0400000019
08/09/2015,12.3,-9999
09/09/2015,13.4,-9999
10/09/2015,13.0,-9999
11/09/2015,12.9,-9999
12/09/2015,24.2,0.0560000027
13/09/2015,26.1,-9999
14/09/2015,22.5,0.0480000023
15/09/2015,11.6,-9999
16/09/2015,12.6,0.0450000021
17/09/2015,10.3,-9999
18/09/2015,15.9,-9999
19/09/2015,23.1,0.0180000009
20/09/2015,14.0,-9999
21/09/2015,14.3,0.0180000009
22/09/2015,12.1,-9999
23/09/2015,11.2,0.116000006
24/09/2015,12.8,-9999
25/09/2015,15.2,-9999
26/09/2015,12.8,0.0390000019
27/09/2015,13.5,-9999
28/09/2015,18.4,0.0550000026
29/09/2015,24.1,-9999
30/09/2015,16.9,0.0180000009
01/10/2015,15.4,-9999
02/10/2015,20.5,-9999
03/10/2015,17.9,-9999
04/10/2015,15.7,-9999
05/10/2015,12.2,0.0180000009
06/10/2015,14.4,-9999
07/10/2015,11.9,0.0180000009
08/10/2015,12.0,-9999
09/10/2015,11.8,0.0410000019
10/10/2015,16.1,-9999
11/10/2015,13.3,-9999
12/10/2015,14.7,-9999
13/10/2015,16.4,-9999
14/10/2015,16.7,0.0180000009
15/10/2015,17.4,-9999
16/10/2015,22.4,-9999
17/10/2015,18.1,-9999
18/10/2015,17.8,0.0350000017
19/10/2015,12.4,-9999
20/10/2015,14.3,-9999
21/10/2015,11.5,-9999
22/10/2015,12.6,-9999
23/10/2015,11.2,-9999
24/10/2015,15.0,-9999
25/10/2015,9.7,-9999
26/10/2015,15.2,-9999
27/10/2015,11.2,0.0280000013
28/10/2015,13.5,0.0180000009
29/10/2015,17.1,-9999
30/10/2015,10.9,0.0180000009
31/10/2015,13.6,-9999
01/11/2015,10.7,0.22100001
02/11/2015,17.4,-9999
03/11/2015,13.7,-9999
04/11/2015,20.6,-9999
05/11/2015,13.7,-9999
06/11/2015,13.5,-9999
07/11/2015,12.9,-9999
08/11/2015,12.3,0.128000006
09/11/2015,12.6,-9999
10/11/2015,13.6,0.0610000029
11/11/2015,14.0,-9999
12/11/2015,18.9,-9999
13/11/2015,16.0,0.0180000009
14/11/2015,14.1,-9999
15/11/2015,10.8,-9999
16/11/2015,13.6,-9999
17/11/2015,15.6,0.0180000009
18/11/2015,10.8,-9999
19/11/2015,10.4,-9999
20/11/2015,18.4,-9999
21/11/2015,18.4,-9999
22/11/2015,14.3,-9999
23/11/2015,12.0,-9999
24/11/2015,17.8,0.0180000009
25/11/2015,16.6,-9999
26/11/2015,10.7,0.0230000011
27/11/2015,10.3,-9999
28/11/2015,10.5,-9999
29/11/2015,11.4,0.0180000009
30/11/2015,14.7,-9999
01/12/2015,13.9,-9999
02/12/2015,16.1,-9999
03/12/2015,13.9,0.0200000009
04/12/2015,17.6,-9999
05/12/2015,20.6,-9999
06/12/2015,15.8,-9999
07/12/2015,10.7,-9999
08/12/2015,13.1,-9999
09/12/2015,17.6,-9999
10/12/2015,13.3,0.022000001
11/12/2015,14.5,-9999
12/12/2015,9.4,0.0180000009
13/12/2015,8.7,-9999
14/12/2015,11.5,-9999
15/12/2015,15.1,0.0180000009
16/12/2015,15.6,-9999
17/12/2015,9.7,-9999
18/12/2015,8.1,-9999
19/12/2015,12.1,0.0290000014
20/12/2015,13.3,-9999
21/12/2015,13.6,0.0590000028
22/12/2015,15.0,-9999
23/12/2015,10.7,-9999
24/12/2015,15.9,-9999
25/12/2015,20.5,-9999
26/12/2015,12.9,0.0180000009
27/12/2015,13.0,-9999
28/12/2015,15.5,0.0750000036
29/12/2015,14.5,-9999
30/12/2015,13.6,0.0320000015
31/12/2015,12.3,0.0180000009
